"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_남_10~19세","2020년_남_20~29세","2020년_남_30~39세","2020년_남_40~49세","2020년_남_50~59세","2020년_남_60~69세","2020년_남_70~79세","2020년_남_80~89세","2020년_남_90~99세","2020년_남_100세 이상","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세","2020년_여_10~19세","2020년_여_20~29세","2020년_여_30~39세","2020년_여_40~49세","2020년_여_50~59세","2020년_여_60~69세","2020년_여_70~79세","2020년_여_80~89세","2020년_여_90~99세","2020년_여_100세 이상","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0~9세","2021년_남_10~19세","2021년_남_20~29세","2021년_남_30~39세","2021년_남_40~49세","2021년_남_50~59세","2021년_남_60~69세","2021년_남_70~79세","2021년_남_80~89세","2021년_남_90~99세","2021년_남_100세 이상","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0~9세","2021년_여_10~19세","2021년_여_20~29세","2021년_여_30~39세","2021년_여_40~49세","2021년_여_50~59세","2021년_여_60~69세","2021년_여_70~79세","2021년_여_80~89세","2021년_여_90~99세","2021년_여_100세 이상","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0~9세","2022년_계_10~19세","2022년_계_20~29세","2022년_계_30~39세","2022년_계_40~49세","2022년_계_50~59세","2022년_계_60~69세","2022년_계_70~79세","2022년_계_80~89세","2022년_계_90~99세","2022년_계_100세 이상","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_0~9세","2022년_남_10~19세","2022년_남_20~29세","2022년_남_30~39세","2022년_남_40~49세","2022년_남_50~59세","2022년_남_60~69세","2022년_남_70~79세","2022년_남_80~89세","2022년_남_90~99세","2022년_남_100세 이상","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_0~9세","2022년_여_10~19세","2022년_여_20~29세","2022년_여_30~39세","2022년_여_40~49세","2022년_여_50~59세","2022년_여_60~69세","2022년_여_70~79세","2022년_여_80~89세","2022년_여_90~99세","2022년_여_100세 이상","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~9세","2023년_계_10~19세","2023년_계_20~29세","2023년_계_30~39세","2023년_계_40~49세","2023년_계_50~59세","2023년_계_60~69세","2023년_계_70~79세","2023년_계_80~89세","2023년_계_90~99세","2023년_계_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~9세","2023년_남_10~19세","2023년_남_20~29세","2023년_남_30~39세","2023년_남_40~49세","2023년_남_50~59세","2023년_남_60~69세","2023년_남_70~79세","2023년_남_80~89세","2023년_남_90~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~9세","2023년_여_10~19세","2023년_여_20~29세","2023년_여_30~39세","2023년_여_40~49세","2023년_여_50~59세","2023년_여_60~69세","2023년_여_70~79세","2023년_여_80~89세","2023년_여_90~99세","2023년_여_100세 이상","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세","2024년_계_20~29세","2024년_계_30~39세","2024년_계_40~49세","2024년_계_50~59세","2024년_계_60~69세","2024년_계_70~79세","2024년_계_80~89세","2024년_계_90~99세","2024년_계_100세 이상","2024년_남_총인구수","2024년_남_연령구간인구수","2024년_남_0~9세","2024년_남_10~19세","2024년_남_20~29세","2024년_남_30~39세","2024년_남_40~49세","2024년_남_50~59세","2024년_남_60~69세","2024년_남_70~79세","2024년_남_80~89세","2024년_남_90~99세","2024년_남_100세 이상","2024년_여_총인구수","2024년_여_연령구간인구수","2024년_여_0~9세","2024년_여_10~19세","2024년_여_20~29세","2024년_여_30~39세","2024년_여_40~49세","2024년_여_50~59세","2024년_여_60~69세","2024년_여_70~79세","2024년_여_80~89세","2024년_여_90~99세","2024년_여_100세 이상","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~9세","2025년_계_10~19세","2025년_계_20~29세","2025년_계_30~39세","2025년_계_40~49세","2025년_계_50~59세","2025년_계_60~69세","2025년_계_70~79세","2025년_계_80~89세","2025년_계_90~99세","2025년_계_100세 이상","2025년_남_총인구수","2025년_남_연령구간인구수","2025년_남_0~9세","2025년_남_10~19세","2025년_남_20~29세","2025년_남_30~39세","2025년_남_40~49세","2025년_남_50~59세","2025년_남_60~69세","2025년_남_70~79세","2025년_남_80~89세","2025년_남_90~99세","2025년_남_100세 이상","2025년_여_총인구수","2025년_여_연령구간인구수","2025년_여_0~9세","2025년_여_10~19세","2025년_여_20~29세","2025년_여_30~39세","2025년_여_40~49세","2025년_여_50~59세","2025년_여_60~69세","2025년_여_70~79세","2025년_여_80~89세","2025년_여_90~99세","2025년_여_100세 이상"
"경기도 용인시 기흥구 (4146300000)","440,835","440,835","42,799","50,832","56,781","59,526","83,883","66,733","41,167","26,278","11,085","1,678","73","217,663","217,663","21,958","26,115","29,375","29,164","41,136","33,669","19,226","11,847","4,680","476","17","223,172","223,172","20,841","24,717","27,406","30,362","42,747","33,064","21,941","14,431","6,405","1,202","56","441,742","441,742","39,745","50,461","57,187","57,095","82,407","69,913","44,188","26,471","12,415","1,796","64","217,999","217,999","20,367","25,868","29,880","28,044","40,204","35,216","20,822","11,747","5,331","509","11","223,743","223,743","19,378","24,593","27,307","29,051","42,203","34,697","23,366","14,724","7,084","1,287","53","438,235","438,235","35,905","50,728","55,846","54,226","80,486","72,428","45,691","27,301","13,642","1,915","67","216,180","216,180","18,383","25,932","29,250","26,907","39,090","36,390","21,779","11,970","5,901","560","18","222,055","222,055","17,522","24,796","26,596","27,319","41,396","36,038","23,912","15,331","7,741","1,355","49","436,656","436,656","32,651","50,015","55,201","52,410","77,672","75,559","47,834","28,453","14,669","2,122","70","215,218","215,218","16,723","25,548","28,793","26,320","37,734","37,649","23,052","12,423","6,325","634","17","221,438","221,438","15,928","24,467","26,408","26,090","39,938","37,910","24,782","16,030","8,344","1,488","53","436,351","436,351","29,742","49,361","54,715","52,215","74,172","78,293","50,170","29,627","15,564","2,416","76","214,987","214,987","15,358","25,190","28,505","26,558","35,884","38,763","24,310","12,917","6,720","762","20","221,364","221,364","14,384","24,171","26,210","25,657","38,288","39,530","25,860","16,710","8,844","1,654","56","435,048","435,048","27,178","48,864","53,221","52,380","70,953","79,797","52,030","31,367","16,469","2,712","77","214,142","214,142","13,960","24,968","27,770","26,861","34,311","39,223","25,402","13,709","7,034","886","18","220,906","220,906","13,218","23,896","25,451","25,519","36,642","40,574","26,628","17,658","9,435","1,826","59"
"경기도 용인시 기흥구 신갈동(4146351000)","38,844","38,844","3,410","3,604","5,138","6,238","6,646","6,236","3,960","2,404","1,059","139","10","19,365","19,365","1,714","1,861","2,564","3,251","3,338","3,167","1,936","1,040","447","44","3","19,479","19,479","1,696","1,743","2,574","2,987","3,308","3,069","2,024","1,364","612","95","7","38,287","38,287","3,165","3,523","4,991","5,956","6,508","6,243","4,224","2,372","1,168","129","8","19,122","19,122","1,594","1,825","2,515","3,119","3,259","3,175","2,093","1,017","486","38","1","19,165","19,165","1,571","1,698","2,476","2,837","3,249","3,068","2,131","1,355","682","91","7","37,875","37,875","2,980","3,460","4,787","5,829","6,324","6,342","4,366","2,338","1,295","148","6","18,889","18,889","1,509","1,780","2,426","3,033","3,180","3,209","2,195","991","519","45","2","18,986","18,986","1,471","1,680","2,361","2,796","3,144","3,133","2,171","1,347","776","103","4","37,241","37,241","2,664","3,325","4,709","5,593","6,074","6,355","4,566","2,426","1,359","162","8","18,585","18,585","1,348","1,709","2,369","2,928","3,080","3,204","2,320","1,025","547","51","4","18,656","18,656","1,316","1,616","2,340","2,665","2,994","3,151","2,246","1,401","812","111","4","36,624","36,624","2,393","3,182","4,508","5,627","5,749","6,381","4,647","2,552","1,390","190","5","18,270","18,270","1,218","1,639","2,256","2,951","2,933","3,203","2,351","1,086","569","61","3","18,354","18,354","1,175","1,543","2,252","2,676","2,816","3,178","2,296","1,466","821","129","2","36,201","36,201","2,186","3,115","4,309","5,716","5,424","6,312","4,768","2,730","1,420","214","7","18,043","18,043","1,097","1,590","2,182","3,018","2,792","3,153","2,399","1,158","582","69","3","18,158","18,158","1,089","1,525","2,127","2,698","2,632","3,159","2,369","1,572","838","145","4"
"경기도 용인시 기흥구 영덕1동(4146351600)","30,729","30,729","3,524","3,548","3,839","4,721","6,017","4,824","2,555","1,158","458","81","4","15,271","15,271","1,789","1,842","2,004","2,333","2,969","2,426","1,207","539","149","12","1","15,458","15,458","1,735","1,706","1,835","2,388","3,048","2,398","1,348","619","309","69","3","30,389","30,389","3,133","3,573","3,793","4,348","5,831","5,144","2,773","1,199","500","92","3","15,116","15,116","1,610","1,835","1,999","2,156","2,868","2,603","1,306","554","169","15","1","15,273","15,273","1,523","1,738","1,794","2,192","2,963","2,541","1,467","645","331","77","2","30,183","30,183","2,752","3,655","3,709","4,117","5,696","5,362","2,974","1,272","543","98","5","15,008","15,008","1,417","1,900","1,939","2,091","2,782","2,679","1,416","574","193","15","2","15,175","15,175","1,335","1,755","1,770","2,026","2,914","2,683","1,558","698","350","83","3","31,353","31,353","2,589","3,713","3,846","4,235","5,733","5,761","3,350","1,413","604","104","5","15,546","15,546","1,305","1,935","1,966","2,203","2,814","2,820","1,625","634","221","22","1","15,807","15,807","1,284","1,778","1,880","2,032","2,919","2,941","1,725","779","383","82","4","34,273","34,273","2,704","3,906","4,163","4,614","6,126","6,417","3,961","1,622","640","118","2","16,950","16,950","1,370","2,030","2,103","2,409","3,008","3,113","1,924","735","231","27","0","17,323","17,323","1,334","1,876","2,060","2,205","3,118","3,304","2,037","887","409","91","2","34,208","34,208","2,524","3,855","4,049","4,567","5,964","6,433","4,201","1,805","689","120","1","16,968","16,968","1,294","2,032","2,105","2,381","2,925","3,076","2,052","822","247","34","0","17,240","17,240","1,230","1,823","1,944","2,186","3,039","3,357","2,149","983","442","86","1"
"경기도 용인시 기흥구 영덕2동(4146351700)","17,623","17,623","1,891","1,270","2,480","3,259","2,759","2,761","1,690","755","594","161","3","8,736","8,736","962","641","1,306","1,665","1,395","1,316","804","367","221","58","1","8,887","8,887","929","629","1,174","1,594","1,364","1,445","886","388","373","103","2","17,504","17,504","1,817","1,206","2,381","3,177","2,728","2,794","1,836","777","605","179","4","8,645","8,645","900","612","1,284","1,598","1,384","1,318","883","385","211","69","1","8,859","8,859","917","594","1,097","1,579","1,344","1,476","953","392","394","110","3","17,428","17,428","1,751","1,197","2,229","3,054","2,802","2,804","1,966","806","631","183","5","8,608","8,608","883","599","1,217","1,533","1,424","1,330","943","381","228","69","1","8,820","8,820","868","598","1,012","1,521","1,378","1,474","1,023","425","403","114","4","19,199","19,199","2,017","1,341","2,248","3,474","3,171","3,039","2,200","873","627","205","4","9,488","9,488","1,020","677","1,207","1,738","1,656","1,444","1,039","411","214","80","2","9,711","9,711","997","664","1,041","1,736","1,515","1,595","1,161","462","413","125","2","19,232","19,232","1,870","1,412","2,172","3,368","3,223","3,071","2,306","955","631","216","8","9,479","9,479","947","712","1,145","1,679","1,695","1,455","1,089","453","226","74","4","9,753","9,753","923","700","1,027","1,689","1,528","1,616","1,217","502","405","142","4","19,137","19,137","1,713","1,464","2,008","3,342","3,212","3,089","2,427","1,030","623","223","6","9,419","9,419","868","742","1,058","1,672","1,678","1,460","1,146","487","227","78","3","9,718","9,718","845","722","950","1,670","1,534","1,629","1,281","543","396","145","3"
"경기도 용인시 기흥구 구갈동(4146352000)","42,070","42,070","4,354","3,390","6,708","7,827","7,109","6,516","3,530","1,865","656","108","7","20,974","20,974","2,236","1,735","3,267","3,941","3,642","3,283","1,709","878","259","23","1","21,096","21,096","2,118","1,655","3,441","3,886","3,467","3,233","1,821","987","397","85","6","41,715","41,715","4,087","3,273","6,552","7,498","7,056","6,656","3,848","1,891","729","120","5","20,866","20,866","2,096","1,699","3,266","3,749","3,626","3,336","1,899","876","291","27","1","20,849","20,849","1,991","1,574","3,286","3,749","3,430","3,320","1,949","1,015","438","93","4","41,361","41,361","3,753","3,369","6,351","6,995","7,112","6,812","4,030","1,974","831","130","4","20,712","20,712","1,924","1,752","3,190","3,483","3,662","3,421","1,994","911","349","25","1","20,649","20,649","1,829","1,617","3,161","3,512","3,450","3,391","2,036","1,063","482","105","3","41,015","41,015","3,368","3,362","6,358","6,604","7,109","6,937","4,197","2,068","865","143","4","20,573","20,573","1,748","1,733","3,202","3,308","3,659","3,461","2,123","933","372","34","0","20,442","20,442","1,620","1,629","3,156","3,296","3,450","3,476","2,074","1,135","493","109","4","40,300","40,300","2,973","3,391","6,104","6,470","6,889","6,854","4,407","2,096","967","144","5","20,356","20,356","1,556","1,735","3,169","3,284","3,547","3,413","2,254","936","426","35","1","19,944","19,944","1,417","1,656","2,935","3,186","3,342","3,441","2,153","1,160","541","109","4","39,961","39,961","2,647","3,472","5,853","6,429","6,671","6,878","4,536","2,257","1,041","168","9","20,203","20,203","1,385","1,754","3,044","3,304","3,436","3,445","2,311","1,025","451","47","1","19,758","19,758","1,262","1,718","2,809","3,125","3,235","3,433","2,225","1,232","590","121","8"
"경기도 용인시 기흥구 상갈동(4146353000)","13,432","13,432","977","1,288","1,960","1,888","2,410","2,277","1,267","900","417","46","2","6,931","6,931","530","641","1,040","1,032","1,249","1,229","622","394","181","12","1","6,501","6,501","447","647","920","856","1,161","1,048","645","506","236","34","1","13,188","13,188","877","1,213","1,919","1,900","2,259","2,267","1,382","890","440","41","0","6,821","6,821","474","608","1,038","1,035","1,177","1,216","677","387","202","7","0","6,367","6,367","403","605","881","865","1,082","1,051","705","503","238","34","0","13,176","13,176","819","1,166","1,897","1,936","2,128","2,366","1,443","894","486","41","0","6,847","6,847","444","584","1,060","1,046","1,110","1,267","719","394","216","7","0","6,329","6,329","375","582","837","890","1,018","1,099","724","500","270","34","0","12,896","12,896","710","1,080","1,837","1,843","2,021","2,398","1,518","923","523","42","1","6,699","6,699","386","545","1,030","1,017","1,042","1,286","752","409","222","10","0","6,197","6,197","324","535","807","826","979","1,112","766","514","301","32","1","12,584","12,584","651","965","1,775","1,841","1,845","2,369","1,594","932","555","55","2","6,512","6,512","350","489","987","1,013","974","1,254","797","390","246","11","1","6,072","6,072","301","476","788","828","871","1,115","797","542","309","44","1","12,481","12,481","586","922","1,689","1,927","1,735","2,331","1,668","963","590","69","1","6,424","6,424","310","468","907","1,062","898","1,240","849","416","254","19","1","6,057","6,057","276","454","782","865","837","1,091","819","547","336","50","0"
"경기도 용인시 기흥구 보라동(4146353500)","33,685","33,685","3,068","4,352","4,045","3,936","6,549","5,179","3,353","2,198","870","127","8","16,723","16,723","1,607","2,231","2,070","1,927","3,264","2,625","1,576","1,011","369","41","2","16,962","16,962","1,461","2,121","1,975","2,009","3,285","2,554","1,777","1,187","501","86","6","33,285","33,285","2,747","4,269","4,058","3,594","6,307","5,464","3,525","2,200","973","143","5","16,450","16,450","1,411","2,188","2,099","1,749","3,109","2,754","1,671","999","419","50","1","16,835","16,835","1,336","2,081","1,959","1,845","3,198","2,710","1,854","1,201","554","93","4","33,016","33,016","2,467","4,272","3,986","3,382","6,152","5,621","3,628","2,291","1,077","132","8","16,265","16,265","1,259","2,180","2,058","1,645","3,003","2,826","1,749","1,030","468","45","2","16,751","16,751","1,208","2,092","1,928","1,737","3,149","2,795","1,879","1,261","609","87","6","32,906","32,906","2,227","4,191","3,974","3,249","5,841","5,949","3,758","2,375","1,179","155","8","16,228","16,228","1,117","2,152","2,080","1,600","2,854","2,969","1,818","1,064","526","46","2","16,678","16,678","1,110","2,039","1,894","1,649","2,987","2,980","1,940","1,311","653","109","6","32,688","32,688","2,021","4,111","3,908","3,193","5,490","6,163","3,923","2,418","1,272","181","8","16,131","16,131","1,030","2,111","2,046","1,591","2,677","3,039","1,933","1,088","553","61","2","16,557","16,557","991","2,000","1,862","1,602","2,813","3,124","1,990","1,330","719","120","6","32,427","32,427","1,812","4,013","3,821","3,174","5,169","6,302","4,036","2,531","1,373","189","7","16,009","16,009","901","2,060","2,029","1,592","2,528","3,082","2,016","1,157","576","66","2","16,418","16,418","911","1,953","1,792","1,582","2,641","3,220","2,020","1,374","797","123","5"
"경기도 용인시 기흥구 기흥동(4146354000)","21,332","21,332","1,839","2,160","2,509","2,762","3,794","3,486","2,678","1,443","572","86","3","10,546","10,546","923","1,133","1,319","1,373","1,915","1,691","1,248","687","244","13","0","10,786","10,786","916","1,027","1,190","1,389","1,879","1,795","1,430","756","328","73","3","21,625","21,625","1,710","2,170","2,573","2,695","3,814","3,586","2,852","1,469","664","89","3","10,718","10,718","874","1,127","1,372","1,364","1,891","1,776","1,335","669","294","15","1","10,907","10,907","836","1,043","1,201","1,331","1,923","1,810","1,517","800","370","74","2","21,477","21,477","1,535","2,110","2,536","2,663","3,757","3,571","2,918","1,567","724","94","2","10,666","10,666","770","1,085","1,377","1,395","1,862","1,745","1,394","697","319","21","1","10,811","10,811","765","1,025","1,159","1,268","1,895","1,826","1,524","870","405","73","1","21,293","21,293","1,347","2,031","2,510","2,550","3,563","3,665","3,079","1,643","787","115","3","10,567","10,567","676","1,016","1,382","1,359","1,773","1,785","1,485","719","345","26","1","10,726","10,726","671","1,015","1,128","1,191","1,790","1,880","1,594","924","442","89","2","20,924","20,924","1,150","1,964","2,377","2,494","3,323","3,762","3,169","1,731","823","125","6","10,363","10,363","573","981","1,331","1,349","1,639","1,821","1,503","777","350","37","2","10,561","10,561","577","983","1,046","1,145","1,684","1,941","1,666","954","473","88","4","20,737","20,737","1,058","1,916","2,289","2,473","3,111","3,800","3,185","1,891","866","143","5","10,275","10,275","537","959","1,265","1,341","1,529","1,860","1,499","855","381","48","1","10,462","10,462","521","957","1,024","1,132","1,582","1,940","1,686","1,036","485","95","4"
"경기도 용인시 기흥구 서농동(4146355000)","25,962","25,962","3,189","2,472","5,064","4,562","4,441","3,194","1,845","813","336","43","3","13,312","13,312","1,591","1,246","2,975","2,288","2,271","1,553","901","359","117","10","1","12,650","12,650","1,598","1,226","2,089","2,274","2,170","1,641","944","454","219","33","2","26,296","26,296","2,939","2,596","5,345","4,307","4,573","3,267","2,024","844","357","42","2","13,548","13,548","1,482","1,296","3,143","2,180","2,366","1,571","999","370","130","11","0","12,748","12,748","1,457","1,300","2,202","2,127","2,207","1,696","1,025","474","227","31","2","26,056","26,056","2,639","2,774","5,088","4,050","4,660","3,313","2,190","913","381","48","0","13,403","13,403","1,330","1,367","2,985","2,095","2,378","1,620","1,063","407","144","14","0","12,653","12,653","1,309","1,407","2,103","1,955","2,282","1,693","1,127","506","237","34","0","25,240","25,240","2,355","2,792","4,562","3,769","4,566","3,466","2,319","975","389","46","1","12,901","12,901","1,165","1,383","2,648","1,957","2,327","1,697","1,121","438","152","12","1","12,339","12,339","1,190","1,409","1,914","1,812","2,239","1,769","1,198","537","237","34","0","25,005","25,005","2,073","2,840","4,512","3,590","4,449","3,526","2,490","1,032","428","64","1","12,725","12,725","1,040","1,405","2,590","1,868","2,236","1,744","1,192","461","170","18","1","12,280","12,280","1,033","1,435","1,922","1,722","2,213","1,782","1,298","571","258","46","0","24,552","24,552","1,893","2,879","4,208","3,453","4,320","3,585","2,552","1,143","450","69","0","12,420","12,420","942","1,439","2,375","1,793","2,165","1,779","1,221","507","180","19","0","12,132","12,132","951","1,440","1,833","1,660","2,155","1,806","1,331","636","270","50","0"
"경기도 용인시 기흥구 구성동(4146356000)","39,372","39,372","3,332","4,848","4,309","4,230","7,783","5,843","4,294","3,204","1,322","200","7","19,040","19,040","1,719","2,492","2,229","2,044","3,768","2,849","1,903","1,393","598","44","1","20,332","20,332","1,613","2,356","2,080","2,186","4,015","2,994","2,391","1,811","724","156","6","40,258","40,258","3,192","4,806","4,437","4,248","7,638","6,321","4,600","3,242","1,540","225","9","19,418","19,418","1,637","2,469","2,319","2,072","3,629","3,129","2,042","1,373","705","42","1","20,840","20,840","1,555","2,337","2,118","2,176","4,009","3,192","2,558","1,869","835","183","8","39,913","39,913","2,831","4,859","4,343","3,990","7,328","6,625","4,656","3,358","1,671","244","8","19,254","19,254","1,458","2,498","2,270","1,975","3,448","3,301","2,070","1,398","783","52","1","20,659","20,659","1,373","2,361","2,073","2,015","3,880","3,324","2,586","1,960","888","192","7","39,303","39,303","2,524","4,712","4,232","3,748","6,783","7,010","4,694","3,506","1,836","253","5","18,926","18,926","1,300","2,403","2,217","1,861","3,191","3,479","2,097","1,485","831","62","0","20,377","20,377","1,224","2,309","2,015","1,887","3,592","3,531","2,597","2,021","1,005","191","5","38,760","38,760","2,213","4,540","4,232","3,637","6,206","7,280","4,826","3,612","1,908","299","7","18,635","18,635","1,146","2,310","2,233","1,827","2,911","3,581","2,171","1,524","844","88","0","20,125","20,125","1,067","2,230","1,999","1,810","3,295","3,699","2,655","2,088","1,064","211","7","38,395","38,395","1,971","4,390","4,173","3,551","5,793","7,392","4,991","3,765","2,009","350","10","18,408","18,408","1,012","2,246","2,174","1,819","2,721","3,592","2,272","1,593","874","104","1","19,987","19,987","959","2,144","1,999","1,732","3,072","3,800","2,719","2,172","1,135","246","9"
"경기도 용인시 기흥구 마북동(4146357000)","32,392","32,392","2,696","3,109","4,116","4,117","5,394","5,104","3,715","2,799","1,167","169","6","15,838","15,838","1,404","1,594","2,122","2,009","2,618","2,497","1,729","1,269","535","59","2","16,554","16,554","1,292","1,515","1,994","2,108","2,776","2,607","1,986","1,530","632","110","4","32,008","32,008","2,461","3,019","4,119","3,883","5,258","5,173","3,861","2,755","1,286","185","8","15,647","15,647","1,271","1,569","2,140","1,918","2,535","2,490","1,813","1,235","610","64","2","16,361","16,361","1,190","1,450","1,979","1,965","2,723","2,683","2,048","1,520","676","121","6","31,675","31,675","2,207","3,060","3,970","3,698","5,142","5,326","3,860","2,794","1,415","193","10","15,459","15,459","1,131","1,570","2,089","1,855","2,459","2,561","1,811","1,237","670","71","5","16,216","16,216","1,076","1,490","1,881","1,843","2,683","2,765","2,049","1,557","745","122","5","31,449","31,449","2,005","3,018","3,896","3,558","4,896","5,545","3,961","2,813","1,536","212","9","15,358","15,358","1,045","1,556","2,023","1,847","2,321","2,660","1,860","1,249","716","79","2","16,091","16,091","960","1,462","1,873","1,711","2,575","2,885","2,101","1,564","820","133","7","33,564","33,564","2,070","3,112","4,102","4,039","4,967","6,148","4,278","2,976","1,624","241","7","16,434","16,434","1,110","1,608","2,131","2,105","2,358","2,910","2,058","1,308","752","92","2","17,130","17,130","960","1,504","1,971","1,934","2,609","3,238","2,220","1,668","872","149","5","33,584","33,584","1,946","3,058","3,970","4,159","4,766","6,157","4,425","3,104","1,741","253","5","16,392","16,392","1,058","1,572","2,057","2,144","2,259","2,903","2,136","1,365","804","93","1","17,192","17,192","888","1,486","1,913","2,015","2,507","3,254","2,289","1,739","937","160","4"
"경기도 용인시 기흥구 동백1동(4146357200)","33,055","33,055","3,507","5,724","3,552","3,438","7,919","4,613","2,113","1,480","618","89","2","15,903","15,903","1,735","2,907","1,784","1,519","3,777","2,406","919","580","245","31","0","17,152","17,152","1,772","2,817","1,768","1,919","4,142","2,207","1,194","900","373","58","2","32,702","32,702","3,126","5,596","3,647","3,147","7,635","5,000","2,270","1,504","686","89","2","15,694","15,694","1,540","2,819","1,831","1,425","3,573","2,641","976","603","258","28","0","17,008","17,008","1,586","2,777","1,816","1,722","4,062","2,359","1,294","901","428","61","2","32,460","32,460","2,749","5,577","3,691","2,823","7,361","5,410","2,412","1,577","761","97","2","15,558","15,558","1,333","2,825","1,861","1,273","3,415","2,825","1,091","622","284","29","0","16,902","16,902","1,416","2,752","1,830","1,550","3,946","2,585","1,321","955","477","68","2","32,023","32,023","2,387","5,369","3,758","2,663","6,848","5,810","2,576","1,645","852","113","2","15,303","15,303","1,174","2,686","1,897","1,223","3,121","3,003","1,204","646","320","29","0","16,720","16,720","1,213","2,683","1,861","1,440","3,727","2,807","1,372","999","532","84","2","31,398","31,398","2,104","5,189","3,716","2,607","6,287","6,020","2,740","1,686","898","144","7","15,037","15,037","1,062","2,592","1,890","1,239","2,835","3,076","1,292","658","357","35","1","16,361","16,361","1,042","2,597","1,826","1,368","3,452","2,944","1,448","1,028","541","109","6","30,995","30,995","1,845","5,025","3,710","2,567","5,759","6,280","2,889","1,785","967","159","9","14,852","14,852","920","2,520","1,893","1,243","2,598","3,157","1,389","718","369","44","1","16,143","16,143","925","2,505","1,817","1,324","3,161","3,123","1,500","1,067","598","115","8"
"경기도 용인시 기흥구 동백2동(4146357500)","27,235","27,235","2,652","4,699","3,165","2,394","6,292","4,257","1,946","1,203","537","86","4","13,374","13,374","1,381","2,421","1,629","1,035","2,892","2,305","917","551","220","21","2","13,861","13,861","1,271","2,278","1,536","1,359","3,400","1,952","1,029","652","317","65","2","27,264","27,264","2,451","4,594","3,264","2,254","6,022","4,582","2,151","1,263","599","82","2","13,387","13,387","1,266","2,379","1,691","973","2,739","2,479","1,003","558","272","26","1","13,877","13,877","1,185","2,215","1,573","1,281","3,283","2,103","1,148","705","327","56","1","27,077","27,077","2,115","4,579","3,393","2,109","5,727","4,844","2,245","1,342","646","73","4","13,309","13,309","1,082","2,366","1,745","947","2,611","2,576","1,077","582","299","22","2","13,768","13,768","1,033","2,213","1,648","1,162","3,116","2,268","1,168","760","347","51","2","26,894","26,894","1,814","4,516","3,475","2,023","5,415","5,046","2,398","1,423","696","84","4","13,206","13,206","946","2,334","1,778","942","2,421","2,644","1,178","621","316","24","2","13,688","13,688","868","2,182","1,697","1,081","2,994","2,402","1,220","802","380","60","2","26,490","26,490","1,555","4,338","3,480","1,990","4,966","5,317","2,480","1,520","739","101","4","12,942","12,942","806","2,221","1,770","945","2,167","2,769","1,239","663","326","35","1","13,548","13,548","749","2,117","1,710","1,045","2,799","2,548","1,241","857","413","66","3","26,164","26,164","1,313","4,219","3,460","1,918","4,580","5,532","2,584","1,619","810","124","5","12,806","12,806","692","2,186","1,748","940","2,014","2,800","1,327","711","349","38","1","13,358","13,358","621","2,033","1,712","978","2,566","2,732","1,257","908","461","86","4"
