"행정구역","2020년_전년인구수_남자인구수","2020년_전년인구수_여자인구수","2020년_전년인구수_계","2020년_당년인구수_남자인구수","2020년_당년인구수_여자인구수","2020년_당년인구수_계","2020년_인구증감_남자인구수","2020년_인구증감_여자인구수","2020년_인구증감_계","2021년_전년인구수_남자인구수","2021년_전년인구수_여자인구수","2021년_전년인구수_계","2021년_당년인구수_남자인구수","2021년_당년인구수_여자인구수","2021년_당년인구수_계","2021년_인구증감_남자인구수","2021년_인구증감_여자인구수","2021년_인구증감_계","2022년_전년인구수_남자인구수","2022년_전년인구수_여자인구수","2022년_전년인구수_계","2022년_당년인구수_남자인구수","2022년_당년인구수_여자인구수","2022년_당년인구수_계","2022년_인구증감_남자인구수","2022년_인구증감_여자인구수","2022년_인구증감_계","2023년_전년인구수_남자인구수","2023년_전년인구수_여자인구수","2023년_전년인구수_계","2023년_당년인구수_남자인구수","2023년_당년인구수_여자인구수","2023년_당년인구수_계","2023년_인구증감_남자인구수","2023년_인구증감_여자인구수","2023년_인구증감_계","2024년_전년인구수_남자인구수","2024년_전년인구수_여자인구수","2024년_전년인구수_계","2024년_당년인구수_남자인구수","2024년_당년인구수_여자인구수","2024년_당년인구수_계","2024년_인구증감_남자인구수","2024년_인구증감_여자인구수","2024년_인구증감_계","2025년_전년인구수_남자인구수","2025년_전년인구수_여자인구수","2025년_전년인구수_계","2025년_당년인구수_남자인구수","2025년_당년인구수_여자인구수","2025년_당년인구수_계","2025년_인구증감_남자인구수","2025년_인구증감_여자인구수","2025년_인구증감_계"
"경기도 용인시 처인구 중앙동(4146151000)","12,238","12,027","24,265","12,458","12,177","24,635","220","150","370","12,458","12,177","24,635","12,718","12,292","25,010","260","115","375","12,718","12,292","25,010","12,727","12,319","25,046","9","27","36","12,727","12,319","25,046","12,659","12,189","24,848","-68","-130","-198","12,659","12,189","24,848","13,531","13,220","26,751","872","1,031","1,903","13,531","13,220","26,751","13,617","13,268","26,885","86","48","134"
"경기도 용인시 처인구 역삼동(4146152000)","22,001","21,762","43,763","22,398","22,277","44,675","397","515","912","22,398","22,277","44,675","0","0","0","-22,398","-22,277","-44,675","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 용인시 처인구 역북동(4146152500)","0","0","0","0","0","0","0","0","0","0","0","0","16,097","15,775","31,872","16,097","15,775","31,872","16,097","15,775","31,872","16,123","15,776","31,899","26","1","27","16,123","15,776","31,899","17,863","17,600","35,463","1,740","1,824","3,564","17,863","17,600","35,463","17,503","17,244","34,747","-360","-356","-716","17,503","17,244","34,747","17,526","17,201","34,727","23","-43","-20"
"경기도 용인시 처인구 삼가동(4146152600)","0","0","0","0","0","0","0","0","0","0","0","0","6,201","6,436","12,637","6,201","6,436","12,637","6,201","6,436","12,637","6,165","6,362","12,527","-36","-74","-110","6,165","6,362","12,527","6,115","6,244","12,359","-50","-118","-168","6,115","6,244","12,359","5,982","6,071","12,053","-133","-173","-306","5,982","6,071","12,053","5,924","6,017","11,941","-58","-54","-112"
"경기도 용인시 처인구 유림동(4146153000)","18,011","17,697","35,708","18,148","17,801","35,949","137","104","241","18,148","17,801","35,949","18,337","17,983","36,320","189","182","371","18,337","17,983","36,320","18,277","17,857","36,134","-60","-126","-186","18,277","17,857","36,134","18,800","18,333","37,133","523","476","999","18,800","18,333","37,133","25,728","25,254","50,982","6,928","6,921","13,849","25,728","25,254","50,982","0","0","0","-25,728","-25,254","-50,982"
"경기도 용인시 처인구 유림1동(4146153500)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6,902","6,636","13,538","6,902","6,636","13,538"
"경기도 용인시 처인구 유림2동(4146153600)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19,311","19,085","38,396","19,311","19,085","38,396"
"경기도 용인시 처인구 동부동(4146154000)","6,842","6,439","13,281","6,796","6,332","13,128","-46","-107","-153","6,796","6,332","13,128","6,870","6,360","13,230","74","28","102","6,870","6,360","13,230","6,798","6,360","13,158","-72","0","-72","6,798","6,360","13,158","6,569","6,197","12,766","-229","-163","-392","6,569","6,197","12,766","6,350","5,953","12,303","-219","-244","-463","6,350","5,953","12,303","6,309","5,921","12,230","-41","-32","-73"
"경기도 용인시 기흥구 (4146300000)","215,796","220,883","436,679","217,663","223,172","440,835","1,867","2,289","4,156","217,663","223,172","440,835","217,999","223,743","441,742","336","571","907","217,999","223,743","441,742","216,180","222,055","438,235","-1,819","-1,688","-3,507","216,180","222,055","438,235","215,218","221,438","436,656","-962","-617","-1,579","215,218","221,438","436,656","214,987","221,364","436,351","-231","-74","-305","214,987","221,364","436,351","214,142","220,906","435,048","-845","-458","-1,303"
"경기도 용인시 기흥구 신갈동(4146351000)","19,472","19,481","38,953","19,365","19,479","38,844","-107","-2","-109","19,365","19,479","38,844","19,122","19,165","38,287","-243","-314","-557","19,122","19,165","38,287","18,889","18,986","37,875","-233","-179","-412","18,889","18,986","37,875","18,585","18,656","37,241","-304","-330","-634","18,585","18,656","37,241","18,270","18,354","36,624","-315","-302","-617","18,270","18,354","36,624","18,043","18,158","36,201","-227","-196","-423"
"경기도 용인시 기흥구 영덕동(4146351500)","23,328","23,685","47,013","0","0","0","-23,328","-23,685","-47,013","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"경기도 용인시 기흥구 영덕1동(4146351600)","0","0","0","15,271","15,458","30,729","15,271","15,458","30,729","15,271","15,458","30,729","15,116","15,273","30,389","-155","-185","-340","15,116","15,273","30,389","15,008","15,175","30,183","-108","-98","-206","15,008","15,175","30,183","15,546","15,807","31,353","538","632","1,170","15,546","15,807","31,353","16,950","17,323","34,273","1,404","1,516","2,920","16,950","17,323","34,273","16,968","17,240","34,208","18","-83","-65"
