"행정구역","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_총인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_총인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율","2025년_총인구수","2025년_세대수","2025년_세대당 인구","2025년_남자 인구수","2025년_여자 인구수","2025년_남여 비율"
"경기도 용인시 처인구 동부동(4146154000)","13,128","5,854","          2.24","6,796","6,332","          1.07","13,230","6,031","          2.19","6,870","6,360","          1.08","13,158","6,053","          2.17","6,798","6,360","          1.07","12,766","6,001","          2.13","6,569","6,197","          1.06","12,303","5,974","          2.06","6,350","5,953","          1.07","12,230","6,038","          2.03","6,309","5,921","          1.07"
"경기도 경기도 용인시 기흥구 (4146300000)","440,835","169,979","          2.59","217,663","223,172","          0.98","441,742","173,844","          2.54","217,999","223,743","          0.97","438,235","174,294","          2.51","216,180","222,055","          0.97","436,656","174,971","          2.50","215,218","221,438","          0.97","436,351","176,278","          2.48","214,987","221,364","          0.97","435,048","177,169","          2.46","214,142","220,906","          0.97"
"경기도 용인시 기흥구 신갈동(4146351000)","38,844","15,976","          2.43","19,365","19,479","          0.99","38,287","16,134","          2.37","19,122","19,165","          1.00","37,875","16,121","          2.35","18,889","18,986","          0.99","37,241","16,117","          2.31","18,585","18,656","          1.00","36,624","16,006","          2.29","18,270","18,354","          1.00","36,201","16,005","          2.26","18,043","18,158","          0.99"
"경기도 용인시 기흥구 영덕1동(4146351600)","30,729","11,659","          2.64","15,271","15,458","          0.99","30,389","11,721","          2.59","15,116","15,273","          0.99","30,183","11,819","          2.55","15,008","15,175","          0.99","31,353","12,515","          2.51","15,546","15,807","          0.98","34,273","13,733","          2.50","16,950","17,323","          0.98","34,208","13,832","          2.47","16,968","17,240","          0.98"
"경기도 용인시 기흥구 영덕2동(4146351700)","17,623","7,104","          2.48","8,736","8,887","          0.98","17,504","7,214","          2.43","8,645","8,859","          0.98","17,428","7,225","          2.41","8,608","8,820","          0.98","19,199","7,913","          2.43","9,488","9,711","          0.98","19,232","7,935","          2.42","9,479","9,753","          0.97","19,137","7,954","          2.41","9,419","9,718","          0.97"
"경기도 용인시 기흥구 구갈동(4146352000)","42,070","17,811","          2.36","20,974","21,096","          0.99","41,715","18,097","          2.31","20,866","20,849","          1.00","41,361","18,118","          2.28","20,712","20,649","          1.00","41,015","18,110","          2.26","20,573","20,442","          1.01","40,300","18,049","          2.23","20,356","19,944","          1.02","39,961","18,017","          2.22","20,203","19,758","          1.02"
"경기도 용인시 기흥구 상갈동(4146353000)","13,432","6,155","          2.18","6,931","6,501","          1.07","13,188","6,165","          2.14","6,821","6,367","          1.07","13,176","6,229","          2.12","6,847","6,329","          1.08","12,896","6,182","          2.09","6,699","6,197","          1.08","12,584","6,102","          2.06","6,512","6,072","          1.07","12,481","6,120","          2.04","6,424","6,057","          1.06"
"경기도 용인시 기흥구 보라동(4146353500)","33,685","12,396","          2.72","16,723","16,962","          0.99","33,285","12,434","          2.68","16,450","16,835","          0.98","33,016","12,392","          2.66","16,265","16,751","          0.97","32,906","12,456","          2.64","16,228","16,678","          0.97","32,688","12,469","          2.62","16,131","16,557","          0.97","32,427","12,532","          2.59","16,009","16,418","          0.98"
"경기도 용인시 기흥구 기흥동(4146354000)","21,332","8,634","          2.47","10,546","10,786","          0.98","21,625","8,953","          2.42","10,718","10,907","          0.98","21,477","9,093","          2.36","10,666","10,811","          0.99","21,293","9,119","          2.34","10,567","10,726","          0.99","20,924","9,096","          2.30","10,363","10,561","          0.98","20,737","9,125","          2.27","10,275","10,462","          0.98"
"경기도 용인시 기흥구 서농동(4146355000)","25,962","11,374","          2.28","13,312","12,650","          1.05","26,296","11,960","          2.20","13,548","12,748","          1.06","26,056","11,947","          2.18","13,403","12,653","          1.06","25,240","11,317","          2.23","12,901","12,339","          1.05","25,005","11,242","          2.22","12,725","12,280","          1.04","24,552","10,993","          2.23","12,420","12,132","          1.02"
"경기도 용인시 기흥구 구성동(4146356000)","39,372","14,888","          2.64","19,040","20,332","          0.94","40,258","15,483","          2.60","19,418","20,840","          0.93","39,913","15,483","          2.58","19,254","20,659","          0.93","39,303","15,375","          2.56","18,926","20,377","          0.93","38,760","15,329","          2.53","18,635","20,125","          0.93","38,395","15,336","          2.50","18,408","19,987","          0.92"
"경기도 용인시 기흥구 마북동(4146357000)","32,392","12,193","          2.66","15,838","16,554","          0.96","32,008","12,323","          2.60","15,647","16,361","          0.96","31,675","12,303","          2.57","15,459","16,216","          0.95","31,449","12,272","          2.56","15,358","16,091","          0.95","33,564","13,114","          2.56","16,434","17,130","          0.96","33,584","13,157","          2.55","16,392","17,192","          0.95"
"경기도 용인시 기흥구 동백1동(4146357200)","33,055","11,508","          2.87","15,903","17,152","          0.93","32,702","11,633","          2.81","15,694","17,008","          0.92","32,460","11,667","          2.78","15,558","16,902","          0.92","32,023","11,656","          2.75","15,303","16,720","          0.92","31,398","11,591","          2.71","15,037","16,361","          0.92","30,995","11,598","          2.67","14,852","16,143","          0.92"
"경기도 용인시 기흥구 동백2동(4146357500)","27,235","9,140","          2.98","13,374","13,861","          0.96","27,264","9,350","          2.92","13,387","13,877","          0.96","27,077","9,437","          2.87","13,309","13,768","          0.97","26,894","9,450","          2.85","13,206","13,688","          0.96","26,490","9,433","          2.81","12,942","13,548","          0.96","26,164","9,412","          2.78","12,806","13,358","          0.96"
"경기도 용인시 기흥구 동백3동(4146357700)","23,521","8,592","          2.74","11,432","12,089","          0.95","26,473","9,815","          2.70","12,868","13,605","          0.95","26,850","10,024","          2.68","13,033","13,817","          0.94","26,898","10,114","          2.66","13,100","13,798","          0.95","26,823","10,125","          2.65","13,043","13,780","          0.95","27,271","10,381","          2.63","13,267","14,004","          0.95"
"경기도 용인시 기흥구 상하동(4146358600)","24,970","9,228","          2.71","12,220","12,750","          0.96","24,535","9,215","          2.66","11,937","12,598","          0.95","23,984","9,173","          2.61","11,648","12,336","          0.94","23,620","9,205","          2.57","11,467","12,153","          0.94","23,229","9,173","          2.53","11,261","11,968","          0.94","22,988","9,155","          2.51","11,079","11,909","          0.93"
"경기도 용인시 기흥구 보정동(4146359000)","36,613","13,321","          2.75","17,998","18,615","          0.97","36,213","13,347","          2.71","17,762","18,451","          0.96","35,704","13,263","          2.69","17,521","18,183","          0.96","35,326","13,170","          2.68","17,271","18,055","          0.96","34,457","12,881","          2.68","16,849","17,608","          0.96","35,947","13,552","          2.65","17,577","18,370","          0.96"
"경기도 경기도 용인시 수지구 (4146500000)","375,843","138,856","          2.71","183,210","192,633","          0.95","375,568","140,600","          2.67","182,957","192,611","          0.95","377,448","142,203","          2.65","184,030","193,418","          0.95","377,422","142,506","          2.65","183,880","193,542","          0.95","375,351","142,381","          2.64","182,639","192,712","          0.95","374,094","142,423","          2.63","181,920","192,174","          0.95"
"경기도 용인시 수지구 풍덕천1동(4146551000)","36,762","15,782","          2.33","18,307","18,455","          0.99","36,189","15,833","          2.29","18,038","18,151","          0.99","35,668","15,745","          2.27","17,850","17,818","          1.00","35,189","15,714","          2.24","17,627","17,562","          1.00","34,797","15,694","          2.22","17,359","17,438","          1.00","34,599","15,662","          2.21","17,284","17,315","          1.00"
"경기도 용인시 수지구 풍덕천2동(4146552000)","41,680","15,037","          2.77","20,442","21,238","          0.96","41,003","14,951","          2.74","20,175","20,828","          0.97","41,454","15,285","          2.71","20,336","21,118","          0.96","41,450","15,353","          2.70","20,362","21,088","          0.97","41,320","15,396","          2.68","20,351","20,969","          0.97","41,219","15,395","          2.68","20,287","20,932","          0.97"
"경기도 용인시 수지구 신봉동(4146553000)","38,172","13,429","          2.84","18,543","19,629","          0.94","37,827","13,407","          2.82","18,310","19,517","          0.94","40,816","14,627","          2.79","19,744","21,072","          0.94","41,317","14,765","          2.80","19,928","21,389","          0.93","41,248","14,740","          2.80","19,858","21,390","          0.93","41,065","14,748","          2.78","19,846","21,219","          0.94"
"경기도 용인시 수지구 죽전1동(4146554000)","56,882","21,007","          2.71","27,442","29,440","          0.93","29,168","10,732","          2.72","14,105","15,063","          0.94","28,673","10,713","          2.68","13,884","14,789","          0.94","28,433","10,701","          2.66","13,733","14,700","          0.93","28,162","10,709","          2.63","13,584","14,578","          0.93","28,969","11,066","          2.62","13,999","14,970","          0.94"
"경기도 용인시 수지구 죽전2동(4146555000)","18,533","7,557","          2.45","9,151","9,382","          0.98","18,387","7,703","          2.39","9,107","9,280","          0.98","18,178","7,681","          2.37","9,050","9,128","          0.99","18,003","7,651","          2.35","8,927","9,076","          0.98","17,805","7,625","          2.34","8,760","9,045","          0.97","17,110","7,155","          2.39","8,320","8,790","          0.95"
"경기도 용인시 수지구 죽전3동(4146555500)","0","0","          0.00","0","0","          0.00","27,063","10,656","          2.54","13,007","14,056","          0.93","26,717","10,683","          2.50","12,924","13,793","          0.94","26,584","10,719","          2.48","12,906","13,678","          0.94","26,441","10,801","          2.45","12,835","13,606","          0.94","26,294","10,920","          2.41","12,765","13,529","          0.94"
"경기도 용인시 수지구 동천동(4146556000)","49,521","18,877","          2.62","24,413","25,108","          0.97","49,723","19,117","          2.60","24,478","25,245","          0.97","50,642","19,487","          2.60","24,947","25,695","          0.97","50,793","19,507","          2.60","24,984","25,809","          0.97","50,597","19,515","          2.59","24,816","25,781","          0.96","50,787","19,711","          2.58","24,887","25,900","          0.96"
"경기도 용인시 수지구 상현1동(4146557000)","48,649","17,711","          2.75","23,535","25,114","          0.94","20,422","6,754","          3.02","9,775","10,647","          0.92","20,116","6,633","          3.03","9,635","10,481","          0.92","20,088","6,624","          3.03","9,649","10,439","          0.92","19,960","6,565","          3.04","9,597","10,363","          0.93","19,740","6,534","          3.02","9,413","10,327","          0.91"
"경기도 용인시 수지구 상현2동(4146558000)","34,092","11,698","          2.91","16,604","17,488","          0.95","33,287","11,528","          2.89","16,158","17,129","          0.94","32,922","11,427","          2.88","15,968","16,954","          0.94","33,110","11,491","          2.88","16,032","17,078","          0.94","32,874","11,443","          2.87","15,918","16,956","          0.94","32,659","11,413","          2.86","15,811","16,848","          0.94"
"경기도 용인시 수지구 상현3동(4146558500)","0","0","          0.00","0","0","          0.00","27,895","11,114","          2.51","13,488","14,407","          0.94","27,697","11,139","          2.49","13,374","14,323","          0.93","27,759","11,179","          2.48","13,408","14,351","          0.93","27,480","11,110","          2.47","13,241","14,239","          0.93","27,231","11,096","          2.45","13,133","14,098","          0.93"
"경기도 용인시 수지구 성복동(4146559000)","51,552","17,758","          2.90","24,773","26,779","          0.93","54,604","18,805","          2.90","26,316","28,288","          0.93","54,565","18,783","          2.91","26,318","28,247","          0.93","54,696","18,802","          2.91","26,324","28,372","          0.93","54,667","18,783","          2.91","26,320","28,347","          0.93","54,421","18,723","          2.91","26,175","28,246","          0.93"
